isFraud,TransactionAmt,dist1,C1,hour_of_day
0,68.5,19.0,1.0,0
0,29.0,,1.0,0
0,59.0,287.0,1.0,0
0,50.0,,2.0,0
0,50.0,,1.0,0
0,49.0,36.0,1.0,0
0,159.0,0.0,1.0,0
0,422.5,,1.0,0
0,15.0,,1.0,0
0,117.0,19.0,2.0,0
0,75.887,,1.0,0
0,16.495,,1.0,0
0,50.0,,4.0,0
0,40.0,,6.0,0
0,10.5,,1.0,0
0,57.95,3.0,4.0,0
0,30.0,,1.0,0
0,100.0,,1.0,0
0,47.95,5.0,1.0,0
0,186.0,,2.0,0
0,39.0,0.0,1.0,0
0,159.95,,127.0,0
0,50.0,,1.0,0
0,107.95,4.0,1.0,0
0,73.95,,3.0,0
0,107.95,,4.0,0
0,184.0,,2.0,0
0,47.95,17.0,4.0,0
0,20.0,,1.0,0
0,36.99,,1.0,0
0,35.0,,3.0,0
0,363.89,13.0,1.0,0
0,200.0,,4.0,0
0,40.0,,2.0,0
0,107.95,2.0,1.0,0
0,107.95,664.0,3.0,0
0,77.0,20.0,8.0,0
0,21.95,,92.0,0
0,25.0,,1.0,0
0,39.95,,1.0,0
0,75.887,,2.0,0
0,774.0,0.0,2.0,0
0,117.0,6.0,2.0,0
0,49.0,0.0,2.0,0
0,39.5,,1.0,0
0,36.95,0.0,190.0,0
0,49.0,30.0,1.0,0
0,15.0,,1.0,0
0,42.294,,1.0,0
0,3.595,,1.0,0
0,117.0,16.0,1.0,0
0,226.0,80.0,4.0,0
0,117.0,5.0,8.0,0
0,130.95,7.0,5.0,0
0,34.0,,1.0,0
0,210.95,,1.0,0
0,500.0,,1.0,0
0,50.0,,1.0,0
0,380.21,,1.0,0
0,35.95,154.0,12.0,0
0,2454.0,,1.0,0
0,58.95,16.0,1.0,0
0,200.0,7.0,1.0,0
0,80.0,,3.0,0
0,250.0,,6.0,0
0,114.95,1.0,1.0,0
0,300.0,,1.0,0
0,445.0,24.0,2.0,0
0,3.081,,2.0,0
0,20.0,,7.0,0
0,100.0,,1.0,0
0,59.0,,1.0,0
0,6.767,,1.0,0
0,554.0,5.0,1.0,0
0,27.793,,1.0,0
0,68.5,,8.0,0
0,36.95,1.0,1.0,0
0,280.0,,6.0,0
0,300.0,2239.0,2.0,0
0,28.699,,1.0,0
0,60.0,,2.0,0
0,104.95,1.0,4.0,0
0,280.0,,2.0,0
0,411.95,22.0,1.0,0
0,125.674,,1.0,0
0,42.596,,1.0,0
0,44.5,6.0,5.0,0
0,88.95,9.0,7.0,0
0,140.0,,2.0,0
0,318.95,5.0,1.0,0
0,77.821,,1.0,0
0,107.0,10.0,2.0,0
0,117.0,327.0,1.0,0
0,50.0,,1.0,0
0,527.0,5.0,2.0,0
0,59.0,,1.0,0
0,108.5,,202.0,0
0,21.5,4.0,1.0,0
0,159.0,137.0,1.0,0
0,75.0,,2.0,0
0,100.0,,1.0,0
0,25.0,,1.0,0
0,42.95,0.0,1.0,0
0,47.95,31.0,1.0,0
0,100.0,,1.0,0
0,5.075,,1.0,0
0,92.0,1.0,2.0,0
0,226.0,113.0,3.0,0
0,150.0,,1.0,0
0,107.95,4.0,1.0,0
0,1153.95,,1.0,0
0,18.186,,1.0,0
0,210.95,5.0,202.0,0
0,11.782,,1.0,0
0,4.433,,1.0,0
0,75.0,,4.0,0
0,34.0,2.0,1.0,0
0,200.0,,2.0,0
0,11.782,,1.0,0
0,100.0,,1.0,0
0,59.0,5.0,1.0,0
0,50.0,,1.0,0
0,80.0,36.0,21.0,0
0,59.0,23.0,1.0,0
0,58.95,112.0,3.0,0
0,50.0,,1.0,0
0,87.95,,4.0,0
0,107.95,,1.0,0
0,57.95,,1.0,0
0,50.0,,2.0,0
0,70.933,,2.0,0
0,444.61,8.0,1.0,0
0,757.07,,1.0,0
0,2594.95,,2.0,0
0,117.0,30.0,2.0,0
0,3000.0,9.0,1.0,0
0,30.0,,8.0,0
0,56.95,55.0,131.0,0
0,100.0,,1.0,0
0,129.299,,1.0,0
0,208.43,4.0,5.0,0
0,200.0,,1.0,0
0,23.806,,1.0,0
0,100.0,,3.0,0
0,200.0,,1.0,0
0,100.0,,1.0,0
0,23.806,,1.0,0
0,25.95,,4.0,0
0,30.0,,1.0,0
0,43.95,,3.0,0
0,117.0,,1.0,0
0,49.0,,16.0,0
0,587.82,9.0,2.0,0
0,29.0,10.0,4.0,0
0,35.95,3.0,25.0,0
0,479.95,,1.0,0
0,50.0,,1.0,0
0,30.0,,1.0,0
0,171.0,12.0,2.0,0
0,92.95,0.0,1.0,0
0,29.0,,1.0,0
0,107.95,,1.0,0
0,100.0,,4.0,0
0,973.95,32.0,1.0,0
0,34.0,,1.0,0
0,39.0,801.0,1.0,0
0,26.5,,1.0,0
0,100.0,,1.0,0
0,36.95,,1.0,0
0,100.0,2355.0,1.0,0
0,20.0,,1.0,0
0,34.0,7.0,1.0,0
0,159.95,16.0,5.0,0
0,25.0,,1.0,0
0,107.95,1111.0,3.0,0
0,117.0,1.0,1.0,0
0,39.0,,2.0,0
0,306.47,,1.0,0
0,445.0,11.0,1.0,0
0,424.95,22.0,2.0,0
0,83.95,,3.0,0
0,171.0,6.0,2.0,0
0,311.95,2.0,1.0,0
0,200.0,,1.0,0
0,112.99,1568.0,2.0,0
0,359.91,,2.0,0
0,117.0,83.0,1.0,0
0,50.0,,4.0,0
0,12.0,,2.0,0
0,57.399,,1.0,0
0,32.325,,1.0,0
0,26.5,,2.0,0
0,5.982,,1.0,0
0,28.699,,1.0,0
0,1486.44,,1.0,0
0,59.0,18.0,1.0,0
0,8.641,,1.0,0
0,66.0,,1.0,0
0,15.0,,1.0,0
0,19.455,,2.0,0
0,34.0,17.0,2.0,0
0,2547.46,17.0,1.0,0
0,47.95,,3.0,0
1,445.0,,2.0,0
0,47.95,6.0,6.0,0
0,28.699,,2.0,0
0,39.0,30.0,1.0,0
0,25.0,,1.0,0
0,120.95,,8.0,0
0,21.993,,2.0,0
0,2948.95,18.0,1.0,0
0,15.0,,1.0,0
0,117.0,9.0,1.0,0
0,499.95,27.0,1.0,0
0,99.0,80.0,3.0,0
0,209.95,10.0,1.0,0
0,100.0,,7.0,0
0,15.0,5.0,1.0,0
0,117.0,90.0,1.0,0
0,50.0,,1.0,0
0,49.0,15.0,1.0,0
0,68.5,,1.0,0
0,590.4,,1.0,0
0,54.0,0.0,1.0,0
0,67.95,,2.0,0
0,43.0,,2.0,0
0,39.0,91.0,2.0,0
0,1973.0,,1.0,0
0,75.0,,2.0,1
0,49.0,10.0,2.0,1
0,107.95,14.0,4.0,1
0,474.95,3.0,2.0,1
0,25.95,2.0,2.0,1
0,116.0,80.0,3.0,1
0,150.5,,1.0,1
0,50.0,,5.0,1
0,30.0,,1.0,1
0,200.0,6.0,2.0,1
0,226.0,,1.0,1
0,171.0,4.0,1.0,1
1,37.098,,0.0,1
0,250.0,,1.0,1
0,24.95,,1.0,1
1,37.098,,1.0,1
0,15.0,,2.0,1
1,37.098,,2.0,1
0,50.0,,1.0,1
0,58.95,,1.0,1
0,50.0,,1.0,1
0,78.95,12.0,1.0,1
0,289.95,12.0,1.0,1
0,100.0,,7.0,1
0,48.638,,1.0,1
0,200.0,0.0,9.0,1
0,54.5,38.0,1.0,1
0,54.0,6.0,1.0,1
0,108.95,51.0,199.0,1
0,2038.95,1.0,1.0,1
0,48.638,,1.0,1
0,42.596,,2.0,1
0,34.5,10.0,1.0,1
0,59.0,8.0,1.0,1
0,55.829,,1.0,1
0,385.78,0.0,1.0,1
0,48.95,45.0,1.0,1
0,50.0,,1.0,1
0,48.578,,1.0,1
0,29.0,,2.0,1
0,30.95,,10.0,1
0,25.0,405.0,2.0,1
0,50.0,,1.0,1
0,50.0,,1.0,1
0,25.0,,1.0,1
0,200.0,,1.0,1
0,222.0,,149.0,1
0,25.0,,1.0,1
0,450.95,,1.0,1
0,30.0,5.0,6.0,1
0,120.95,,8.0,1
0,59.0,2.0,3.0,1
0,50.0,,1.0,1
0,30.0,,1.0,1
0,50.0,,5.0,1
0,57.95,,2.0,1
0,18.73,,1.0,1
0,34.0,2.0,1.0,1
0,72.99,4.0,1.0,1
0,25.014,,1.0,1
1,155.521,,1.0,1
0,107.95,0.0,82.0,1
0,30.0,,26.0,1
0,26.5,,1.0,1
0,15.0,,2.0,1
0,117.0,4.0,2.0,1
0,59.0,9.0,1.0,1
0,112.0,2.0,3.0,1
0,160.5,,1.0,1
0,200.0,,1.0,1
0,107.95,184.0,1.0,1
0,72.99,,2.0,1
0,48.638,,1.0,1
0,20.905,,1.0,1
0,48.638,,1.0,1
0,1351.55,3.0,1.0,1
0,554.0,2.0,1.0,1
0,48.638,,1.0,1
0,20.0,,1.0,1
0,159.95,,7.0,1
0,25.95,3.0,6.0,1
0,25.95,5.0,2.0,1
0,105.0,,1.0,1
0,50.0,,1.0,1
0,25.0,,2.0,1
0,83.95,1576.0,1.0,1
0,54.0,0.0,3.0,1
0,364.95,3.0,1.0,1
0,19.576,,1.0,1
0,335.0,2.0,1.0,1
0,39.0,,1.0,1
0,300.0,,1.0,1
0,82.95,19.0,2.0,1
0,108.5,,1.0,1
0,219.95,,1.0,1
0,107.95,,8.0,1
0,412.73,133.0,1.0,1
0,354.95,222.0,1.0,1
0,107.95,1.0,1.0,1
0,125.0,,1.0,1
0,16.857,,1.0,1
0,160.5,,5.0,1
0,25.0,,1.0,1
0,105.95,9.0,3.0,1
0,100.0,,1.0,1
0,30.0,,1.0,1
0,524.0,0.0,2.0,1
0,100.0,,1.0,1
0,100.0,,1.0,1
0,50.0,,1.0,1
0,100.0,,1.0,1
0,33.25,23.0,1.0,1
0,157.95,,2.0,1
0,648.95,525.0,1.0,1
0,335.0,5.0,1.0,1
0,57.95,3.0,1.0,1
0,117.0,0.0,1.0,1
0,711.93,,1.0,1
0,107.95,2.0,4.0,1
0,60.0,239.0,5.0,1
0,59.0,2.0,1.0,1
0,59.0,68.0,1.0,1
0,26.5,,1.0,1
0,35.95,352.0,2.0,1
0,26.947,,0.0,1
0,500.0,,1.0,1
0,58.0,,1.0,1
0,500.0,,1.0,1
0,209.95,8.0,1.0,1
0,25.0,,3.0,1
0,59.0,10.0,4.0,1
0,107.95,,8.0,1
